circuitid,circuitref,lat,lng,alt
1,albert_park,-37.8497,144.968,10
2,sepang,2.76083,101.738,18
3,bahrain,26.0325,50.5106,7
4,catalunya,41.57,2.26111,109
5,istanbul,40.9517,29.405,130
6,monaco,43.7347,7.42056,7
7,villeneuve,45.5,-73.5228,13
8,magny_cours,46.8642,3.16361,228
9,silverstone,52.0786,-1.01694,153
10,hockenheimring,49.3278,8.56583,103
11,hungaroring,47.5789,19.2486,264
12,valencia,39.4589,-0.331667,4
13,spa,50.4372,5.97139,401
14,monza,45.6156,9.28111,162
15,marina_bay,1.2914,103.864,18
16,fuji,35.3717,138.927,583
17,shanghai,31.3389,121.22,5
18,interlagos,-23.7036,-46.6997,785
19,indianapolis,39.795,-86.2347,223
20,nurburgring,50.3356,6.9475,578
21,imola,44.3439,11.7167,37
22,suzuka,34.8431,136.541,45
80,vegas,36.1147,-115.173,\N
24,yas_marina,24.4672,54.6031,3
25,galvez,-34.6943,-58.4593,8
26,jerez,36.7083,-6.03417,37
27,estoril,38.7506,-9.39417,130
28,okayama,34.915,134.221,266
29,adelaide,-34.9272,138.617,58
30,kyalami,-25.9894,28.0767,1460
31,donington,52.8306,-1.37528,88
32,rodriguez,19.4042,-99.0907,2227
33,phoenix,33.4479,-112.075,345
34,ricard,43.2506,5.79167,432
35,yeongam,34.7333,126.417,0
36,jacarepagua,-22.9756,-43.395,1126
37,detroit,42.3298,-83.0401,177
38,brands_hatch,51.3569,0.263056,145
39,zandvoort,52.3888,4.54092,6
40,zolder,50.9894,5.25694,36
41,dijon,47.3625,4.89913,484
42,dallas,32.7774,-96.7587,139
43,long_beach,33.7651,-118.189,12
44,las_vegas,36.1162,-115.174,639
45,jarama,40.6171,-3.58558,609
46,watkins_glen,42.3369,-76.9272,485
47,anderstorp,57.2653,13.6042,153
48,mosport,44.0481,-78.6756,332
49,montjuic,41.3664,2.15167,79
50,nivelles,50.6211,4.32694,139
51,charade,45.7472,3.03889,790
52,tremblant,46.1877,-74.6099,214
53,essarts,49.3306,1.00458,81
54,lemans,47.95,0.224231,67
55,reims,49.2542,3.93083,88
56,george,-33.0486,27.8736,15
57,zeltweg,47.2039,14.7478,676
58,aintree,53.4769,-2.94056,20
59,boavista,41.1705,-8.67325,28
60,riverside,33.937,-117.273,470
61,avus,52.4806,13.2514,53
62,monsanto,38.7197,-9.20306,158
63,sebring,27.4547,-81.3483,18
64,ain-diab,33.5786,-7.6875,19
65,pescara,42.475,14.1508,129
66,bremgarten,46.9589,7.40194,551
67,pedralbes,41.3903,2.11667,85
68,buddh,28.3487,77.5331,194
69,americas,30.1328,-97.6411,161
70,red_bull_ring,47.2197,14.7647,678
71,sochi,43.4057,39.9578,2
73,baku,40.3725,49.8533,-7
75,portimao,37.227,-8.6267,108
76,mugello,43.9975,11.3719,255
77,jeddah,21.6319,39.1044,15
78,losail,25.49,51.4542,\N
79,miami,25.9581,-80.2389,\N
