predictions_real_xgb,predictions_real_linearregresion,predictions_real_ridge,predictions_real_lasso,predictions_real_tree,predictions_real_knn,position_xgb,position_linearregresion,position_ridge,position_lasso,position_tree,position_knn
96472.85,95487.1260295657,96397.29150348707,96726.58186527136,96577.0,96835.0,4.0,11.0,18.0,18.0,1.0,7.0
96467.08,95563.27504373621,96463.39781088193,96788.50636225264,96577.0,96835.0,3.0,17.0,19.0,19.0,1.0,7.0
96500.336,95445.35625515378,96369.87756903084,96704.38233891896,96577.0,96762.6,16.0,8.0,16.0,16.0,1.0,4.0
96497.016,95538.98233603913,96364.15653628697,96661.76486664425,96577.0,96895.6,14.0,14.0,14.0,14.0,1.0,9.0
96475.31,95501.6414997545,96391.62004146774,96713.04768240517,96577.0,96688.0,7.0,12.0,17.0,17.0,1.0,1.0
96487.08,95546.19390031917,96366.66165951853,96662.28860243502,96577.0,96895.6,10.0,15.0,15.0,15.0,1.0,9.0
96481.46,95434.19031627639,96315.29576835794,96633.25551262576,96577.0,96771.2,9.0,7.0,10.0,13.0,1.0,5.0
96507.72,95456.30922619515,96196.21812987477,96461.31390710842,96577.0,96895.6,19.0,9.0,7.0,8.0,1.0,9.0
96463.58,95248.94479657285,96099.77057465297,96402.53934539438,96577.0,96749.6,2.0,4.0,4.0,5.0,1.0,2.0
96473.16,95579.86664836248,96330.70057490884,96600.52097641103,96577.0,96895.6,5.0,18.0,13.0,12.0,1.0,9.0
96494.016,94968.63533071219,95739.41410017134,96014.97751423306,96577.0,96895.6,12.0,1.0,2.0,2.0,1.0,9.0
96493.945,95134.08475271036,95737.2330095087,95950.09001144968,96577.0,96895.6,11.0,2.0,1.0,1.0,1.0,9.0
96476.945,95203.78160934697,95809.74393824398,96020.29981778037,96577.0,96772.0,8.0,3.0,3.0,3.0,1.0,6.0
96502.125,95418.53795925743,96206.70224341322,96489.98889445206,96577.0,96895.6,18.0,6.0,8.0,9.0,1.0,9.0
96501.81,95632.19677332597,96319.09406301934,96565.009459659,96577.0,96895.6,17.0,19.0,12.0,10.0,1.0,9.0
96496.25,95531.02711607545,96316.70664053256,96599.26181280804,96577.0,96895.6,13.0,13.0,11.0,11.0,1.0,9.0
96497.234,95370.15236938582,96109.52790298447,96373.89905391184,96577.0,96895.6,15.0,5.0,5.0,4.0,1.0,9.0
96743.04,95888.7354328162,96639.77375555497,96909.71058068676,96577.0,96895.6,20.0,20.0,20.0,20.0,1.0,9.0
96473.81,95459.70419020555,96170.59124440397,96424.90102054868,96577.0,96895.6,6.0,10.0,6.0,6.0,1.0,9.0
96460.2,95548.33967056847,96213.67481841805,96447.52542439118,96577.0,96749.6,1.0,16.0,9.0,7.0,1.0,2.0
